user_id,name,age,location,signup_date,signup_month,app_open_count,days_active_per_month,last_transaction_date,activity_level
1,Brian Martin,58,Amberchester,2024-05-13,2024-05,,,,
2,Christine Miller,48,Charleston,2023-12-08,2023-12,164.0,13.0,2025-05-24,Medium Activity
3,Julie Brown,26,Johnstonburgh,2023-11-12,2023-11,,,,
4,Adrian Peck,44,Kennethhaven,2024-06-28,2024-06,73.0,23.0,2025-05-15,High Activity
5,Ryan Wilkins,28,Sullivantown,2024-06-15,2024-06,,,,
6,April Harris,49,Hernandezville,2024-05-23,2024-05,251.0,18.0,2025-05-10,Medium Activity
7,Dalton Blake,32,East Monique,2025-06-18,2025-06,218.0,6.0,2025-05-14,Low Activity
8,Alison Beck,55,West Victor,2025-02-15,2025-02,,,,
9,Sean Reeves,58,New Elizabethtown,2023-10-01,2023-10,144.0,20.0,2025-06-23,Medium Activity
9,Sean Reeves,58,New Elizabethtown,2023-10-01,2023-10,133.0,28.0,2025-06-13,High Activity
9,Sean Reeves,58,New Elizabethtown,2023-10-01,2023-10,47.0,24.0,2025-06-08,High Activity
9,Sean Reeves,58,New Elizabethtown,2023-10-01,2023-10,60.0,8.0,2025-05-20,Low Activity
10,Christina Harris,45,Spencerfort,2024-01-10,2024-01,109.0,29.0,2025-05-25,High Activity
10,Christina Harris,45,Spencerfort,2024-01-10,2024-01,196.0,20.0,2025-06-29,Medium Activity
10,Christina Harris,45,Spencerfort,2024-01-10,2024-01,174.0,29.0,2025-06-17,High Activity
11,Helen Lopez,50,Amyberg,2023-10-25,2023-10,245.0,8.0,2025-06-17,Low Activity
12,Christina Robinson,58,Williamsstad,2024-04-29,2024-04,108.0,21.0,2025-06-06,High Activity
13,Alyssa Mendoza,52,Amyville,2024-11-10,2024-11,12.0,23.0,2025-06-12,High Activity
14,Beth Mckinney,29,East Kimberly,2023-12-08,2023-12,148.0,15.0,2025-06-27,Medium Activity
15,Clarence Chambers,49,East Lucas,2024-01-10,2024-01,275.0,25.0,2025-06-10,High Activity
16,Kevin Collins,21,South Lisabury,2024-05-12,2024-05,,,,
17,Shirley Robinson,48,West Kennethfort,2024-04-01,2024-04,12.0,23.0,2025-05-09,High Activity
18,Jennifer Cross,32,Alexandermouth,2025-05-01,2025-05,59.0,23.0,2025-05-23,High Activity
19,Isabel Callahan,35,Port Stephanie,2023-12-13,2023-12,,,,
20,Anthony Stone,49,Kevinchester,2024-07-26,2024-07,,,,
21,Eric Lee,46,Lake Kathrynhaven,2023-12-21,2023-12,64.0,22.0,2025-06-25,High Activity
21,Eric Lee,46,Lake Kathrynhaven,2023-12-21,2023-12,160.0,18.0,2025-06-18,Medium Activity
21,Eric Lee,46,Lake Kathrynhaven,2023-12-21,2023-12,159.0,8.0,2025-06-16,Low Activity
22,Michael Smith,21,Baileybury,2024-09-21,2024-09,,,,
23,Deborah Love,56,Stephaniefurt,2024-01-20,2024-01,,,,
24,Jacqueline Patterson,48,Port Nicholasmouth,2024-02-23,2024-02,,,,
25,Caitlin Williams,21,Adamville,2025-02-15,2025-02,,,,
26,Edward Johnson,52,Port Miguel,2024-10-29,2024-10,,,,
27,Danielle Lopez,20,Johntown,2025-03-22,2025-03,,,,
28,Johnny Miranda,44,South Ashleyburgh,2025-04-17,2025-04,22.0,17.0,2025-06-02,Medium Activity
29,Stacey Campbell,39,North Chrisberg,2025-05-26,2025-05,251.0,9.0,2025-05-18,Low Activity
30,Anita Schultz,18,Lake Dylanshire,2025-05-27,2025-05,126.0,12.0,2025-05-10,Medium Activity
30,Anita Schultz,18,Lake Dylanshire,2025-05-27,2025-05,148.0,25.0,2025-05-17,High Activity
31,Amanda Mitchell,46,Denisefurt,2023-09-11,2023-09,,,,
32,Angela Esparza,32,North Seanborough,2024-07-06,2024-07,114.0,10.0,2025-06-01,Low Activity
33,Michael Weaver,40,Elizabethshire,2024-02-10,2024-02,246.0,17.0,2025-06-03,Medium Activity
34,Benjamin Howard,33,Jasminestad,2025-03-22,2025-03,150.0,5.0,2025-05-29,Low Activity
34,Benjamin Howard,33,Jasminestad,2025-03-22,2025-03,233.0,14.0,2025-06-20,Medium Activity
35,Melanie Rush,52,East Elizabeth,2024-10-14,2024-10,185.0,6.0,2025-05-21,Low Activity
35,Melanie Rush,52,East Elizabeth,2024-10-14,2024-10,34.0,25.0,2025-07-04,High Activity
35,Melanie Rush,52,East Elizabeth,2024-10-14,2024-10,231.0,9.0,2025-06-19,Low Activity
36,Cynthia Reed,30,Lake Danielton,2024-09-05,2024-09,167.0,27.0,2025-05-31,High Activity
37,Jacob Cohen,51,South Johnmouth,2023-07-13,2023-07,,,,
38,Christopher Nguyen,55,Kochtown,2025-03-02,2025-03,149.0,9.0,2025-05-31,Low Activity
39,Caitlin Valencia,19,Robinsontown,2024-02-07,2024-02,128.0,22.0,2025-06-27,High Activity
40,Jessica Gomez,58,North Robertstad,2024-03-20,2024-03,145.0,14.0,2025-05-18,Medium Activity
41,Kyle Powers,24,Thompsonfort,2024-10-10,2024-10,195.0,12.0,2025-06-17,Medium Activity
42,Margaret Mcneil,56,Lake Katherine,2024-09-07,2024-09,243.0,16.0,2025-05-15,Medium Activity
42,Margaret Mcneil,56,Lake Katherine,2024-09-07,2024-09,106.0,22.0,2025-05-18,High Activity
43,Angela Ball,18,Huntview,2025-04-22,2025-04,,,,
44,Brett Pollard,30,North Justin,2025-05-12,2025-05,,,,
45,Drew King,33,West Tina,2025-01-10,2025-01,281.0,19.0,2025-05-23,Medium Activity
46,Margaret Fisher,36,Allenchester,2023-10-25,2023-10,11.0,24.0,2025-05-07,High Activity
47,Kara Webb,58,New Keith,2023-10-30,2023-10,,,,
48,Kenneth Murray,53,Port Emilyborough,2024-04-30,2024-04,,,,
49,Derek Singh,32,Lake Davidfort,2024-06-06,2024-06,,,,
50,Joseph Rodriguez,44,Floresborough,2023-10-14,2023-10,137.0,26.0,2025-06-20,High Activity
51,Bruce Watson,46,Erinview,2024-09-23,2024-09,169.0,23.0,2025-07-03,High Activity
51,Bruce Watson,46,Erinview,2024-09-23,2024-09,280.0,9.0,2025-05-07,Low Activity
51,Bruce Watson,46,Erinview,2024-09-23,2024-09,186.0,25.0,2025-06-22,High Activity
52,Jamie Luna,50,East Brian,2025-04-24,2025-04,55.0,24.0,2025-06-27,High Activity
53,Eric White,37,Alyssastad,2024-01-05,2024-01,28.0,8.0,2025-05-27,Low Activity
54,Courtney Allen,23,Biancaside,2023-11-28,2023-11,121.0,7.0,2025-06-29,Low Activity
55,Connor Jones,23,East Garytown,2025-01-11,2025-01,233.0,24.0,2025-07-02,High Activity
56,Sara Gregory,23,Meganstad,2025-06-16,2025-06,223.0,24.0,2025-06-27,High Activity
56,Sara Gregory,23,Meganstad,2025-06-16,2025-06,144.0,14.0,2025-06-07,Medium Activity
57,Jennifer Moore,29,North Louis,2024-09-13,2024-09,248.0,8.0,2025-06-23,Low Activity
58,Jennifer Anderson,22,Scottfort,2023-09-04,2023-09,113.0,9.0,2025-06-23,Low Activity
59,Darrell Bell,43,Chaseview,2024-12-29,2024-12,,,,
60,Gary James,34,Lake Theresa,2024-11-06,2024-11,269.0,6.0,2025-06-20,Low Activity
60,Gary James,34,Lake Theresa,2024-11-06,2024-11,185.0,16.0,2025-06-19,Medium Activity
60,Gary James,34,Lake Theresa,2024-11-06,2024-11,252.0,5.0,2025-06-14,Low Activity
61,Jennifer Collier,30,West Lauraburgh,2024-11-29,2024-11,229.0,9.0,2025-05-27,Low Activity
62,Joseph Wright,59,Robertston,2023-07-19,2023-07,98.0,22.0,2025-05-18,High Activity
63,Jonathan Berg,30,New Rodneyberg,2024-09-24,2024-09,,,,
64,Monica Cochran,47,South Maryfurt,2025-06-11,2025-06,47.0,29.0,2025-07-01,High Activity
65,Logan Bean,24,East Charlesborough,2024-03-29,2024-03,119.0,20.0,2025-05-17,Medium Activity
65,Logan Bean,24,East Charlesborough,2024-03-29,2024-03,92.0,15.0,2025-05-22,Medium Activity
66,Valerie Castro,46,Lake Brandibury,2024-08-27,2024-08,21.0,12.0,2025-06-19,Medium Activity
66,Valerie Castro,46,Lake Brandibury,2024-08-27,2024-08,94.0,29.0,2025-05-27,High Activity
67,Carmen Byrd,25,Port Thomas,2023-07-30,2023-07,299.0,27.0,2025-06-24,High Activity
67,Carmen Byrd,25,Port Thomas,2023-07-30,2023-07,220.0,21.0,2025-05-19,High Activity
68,Jason Shaw,19,Mcdowellport,2023-12-15,2023-12,268.0,12.0,2025-05-25,Medium Activity
69,Ashley Padilla,37,Port Gina,2024-02-10,2024-02,,,,
70,Terry Powell,42,Jamiemouth,2024-11-18,2024-11,166.0,17.0,2025-05-11,Medium Activity
71,Miss Kayla Hicks,19,Port Anthonyside,2023-07-24,2023-07,238.0,17.0,2025-05-15,Medium Activity
71,Miss Kayla Hicks,19,Port Anthonyside,2023-07-24,2023-07,249.0,12.0,2025-05-26,Medium Activity
71,Miss Kayla Hicks,19,Port Anthonyside,2023-07-24,2023-07,281.0,8.0,2025-05-18,Low Activity
72,Kimberly Bernard,29,South Robert,2024-10-24,2024-10,202.0,23.0,2025-06-10,High Activity
73,Paul Neal,33,North Andrew,2024-08-07,2024-08,79.0,5.0,2025-06-22,Low Activity
73,Paul Neal,33,North Andrew,2024-08-07,2024-08,126.0,24.0,2025-05-30,High Activity
73,Paul Neal,33,North Andrew,2024-08-07,2024-08,17.0,7.0,2025-06-04,Low Activity
73,Paul Neal,33,North Andrew,2024-08-07,2024-08,54.0,22.0,2025-05-17,High Activity
73,Paul Neal,33,North Andrew,2024-08-07,2024-08,212.0,24.0,2025-05-26,High Activity
73,Paul Neal,33,North Andrew,2024-08-07,2024-08,267.0,13.0,2025-06-01,Medium Activity
74,Kirsten Thomas,50,Port Coreyborough,2024-08-06,2024-08,,,,
75,Vicki Soto,22,Hughesside,2025-03-22,2025-03,44.0,15.0,2025-05-19,Medium Activity
76,Douglas Peterson,23,Hansenbury,2024-09-20,2024-09,258.0,24.0,2025-06-13,High Activity
77,Sharon Martinez,45,South April,2024-08-13,2024-08,,,,
78,Mark Johnson,36,West Tammy,2024-05-26,2024-05,,,,
79,Richard Allen,35,Michelefort,2024-05-15,2024-05,120.0,12.0,2025-05-30,Medium Activity
79,Richard Allen,35,Michelefort,2024-05-15,2024-05,48.0,15.0,2025-06-26,Medium Activity
80,Veronica Griffin,19,Joshuaside,2024-05-21,2024-05,65.0,25.0,2025-06-01,High Activity
81,Brandi Johnston,42,Hughesmouth,2025-01-23,2025-01,,,,
82,Paul Arellano,59,Castillofort,2024-02-09,2024-02,20.0,13.0,2025-06-16,Medium Activity
83,Jamie Mitchell,39,Norrisborough,2023-08-27,2023-08,,,,
84,Joseph Reed,30,Jeffreyburgh,2023-09-25,2023-09,184.0,15.0,2025-05-12,Medium Activity
85,Shirley Edwards,21,South Adam,2024-07-22,2024-07,,,,
86,Amy Russell,20,Josephfort,2024-05-15,2024-05,174.0,12.0,2025-06-06,Medium Activity
87,Mary Garrison,26,Rachelberg,2024-10-28,2024-10,,,,
88,Joshua Daniels,57,Lake Johnbury,2024-03-06,2024-03,,,,
89,Courtney Ramirez,19,East Kariberg,2024-05-10,2024-05,134.0,11.0,2025-06-24,Medium Activity
89,Courtney Ramirez,19,East Kariberg,2024-05-10,2024-05,254.0,24.0,2025-05-29,High Activity
90,Kara Rosario,22,Lake Franciscoborough,2025-02-16,2025-02,102.0,10.0,2025-06-09,Low Activity
91,Scott Flores,30,Brownville,2023-08-27,2023-08,13.0,8.0,2025-05-11,Low Activity
92,Thomas Cherry,39,South Samuelland,2025-01-10,2025-01,240.0,14.0,2025-06-09,Medium Activity
92,Thomas Cherry,39,South Samuelland,2025-01-10,2025-01,15.0,20.0,2025-07-03,Medium Activity
92,Thomas Cherry,39,South Samuelland,2025-01-10,2025-01,254.0,12.0,2025-06-29,Medium Activity
92,Thomas Cherry,39,South Samuelland,2025-01-10,2025-01,39.0,22.0,2025-05-22,High Activity
92,Thomas Cherry,39,South Samuelland,2025-01-10,2025-01,105.0,27.0,2025-05-26,High Activity
93,Trevor Gibson,50,North Nataliemouth,2025-01-28,2025-01,166.0,20.0,2025-05-12,Medium Activity
94,Robert Camacho,25,Taraborough,2023-11-26,2023-11,123.0,6.0,2025-05-14,Low Activity
95,Barbara Howard,45,East Teresamouth,2023-09-22,2023-09,42.0,14.0,2025-05-07,Medium Activity
95,Barbara Howard,45,East Teresamouth,2023-09-22,2023-09,128.0,25.0,2025-05-17,High Activity
95,Barbara Howard,45,East Teresamouth,2023-09-22,2023-09,78.0,28.0,2025-05-18,High Activity
96,Brian Stewart,50,West Amberview,2024-04-20,2024-04,,,,
97,Mr. Christopher Ferrell,35,Lopezton,2025-05-15,2025-05,282.0,26.0,2025-05-12,High Activity
98,Robert Tucker,51,New Adammouth,2024-07-17,2024-07,,,,
99,Michael Downs,38,East Martha,2023-11-07,2023-11,,,,
100,Valerie Stokes,40,Martinezstad,2023-08-27,2023-08,278.0,23.0,2025-05-19,High Activity
101,Valerie Murray,58,New Tylerview,2024-03-06,2024-03,15.0,13.0,2025-06-04,Medium Activity
102,Alexandria Guzman,18,West Kelsey,2024-08-08,2024-08,198.0,18.0,2025-06-01,Medium Activity
103,Christine Long,34,East Seth,2024-07-27,2024-07,,,,
104,Christine Brown,39,Masseystad,2024-11-06,2024-11,106.0,26.0,2025-05-18,High Activity
105,Joseph Stark,24,South Donnaberg,2024-02-02,2024-02,289.0,13.0,2025-06-14,Medium Activity
106,Christopher Kennedy,40,Port Matthew,2024-06-28,2024-06,,,,
107,Sherri Elliott,36,Craigberg,2023-11-19,2023-11,257.0,20.0,2025-07-04,Medium Activity
108,Judith Kim,31,Lake Lynn,2024-03-08,2024-03,113.0,25.0,2025-05-06,High Activity
109,Jessica Jordan,42,Thomasland,2025-02-06,2025-02,,,,
110,Rebecca Dodson,53,Angelicaside,2024-06-16,2024-06,,,,
111,Alexander Pugh,26,Lake Patrickmouth,2023-10-04,2023-10,232.0,9.0,2025-06-22,Low Activity
112,Joshua Burgess,50,New Danielle,2025-02-07,2025-02,25.0,24.0,2025-05-18,High Activity
113,Michael Reyes,55,South Patriciaville,2024-07-05,2024-07,,,,
114,Lisa Harris,47,Kristinside,2023-07-22,2023-07,,,,
115,Amy Gardner,58,Destinyville,2023-10-23,2023-10,12.0,10.0,2025-06-14,Low Activity
116,Daniel Bennett,46,West Anntown,2024-04-08,2024-04,141.0,7.0,2025-06-06,Low Activity
117,Carly Pearson,59,Jeffreymouth,2025-04-20,2025-04,90.0,28.0,2025-05-30,High Activity
118,Debra Williams,58,East Kaitlyn,2024-05-08,2024-05,,,,
119,Katelyn Castillo,55,North Brucefurt,2025-06-27,2025-06,135.0,12.0,2025-05-13,Medium Activity
120,Steven Wilkinson,54,Andrewschester,2023-10-01,2023-10,229.0,15.0,2025-05-22,Medium Activity
120,Steven Wilkinson,54,Andrewschester,2023-10-01,2023-10,45.0,5.0,2025-06-01,Low Activity
121,Julie Hoffman,38,South Connie,2024-11-25,2024-11,258.0,24.0,2025-05-17,High Activity
